"train/global_step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - train/loss","MIN","MAX"
"2401","2400","2400","2400","3.8606","3.8606","3.8606"
"2419","2418","2418","2418","3.9182","3.9182","3.9182"
"2424","2423","2423","2423","3.9057","3.9057","3.9057"
"2443","2442","2442","2442","3.8049","3.8049","3.8049"
"2445","2444","2444","2444","3.838","3.838","3.838"
"2457","2456","2456","2456","3.8248","3.8248","3.8248"
"2473","2472","2472","2472","3.7683","3.7683","3.7683"
"2484","2483","2483","2483","3.7786","3.7786","3.7786"
"2531","2530","2530","2530","3.7571","3.7571","3.7571"
"2533","2532","2532","2532","3.7639","3.7639","3.7639"
"2544","2543","2543","2543","3.7359","3.7359","3.7359"
"2553","2552","2552","2552","3.7821","3.7821","3.7821"
"2555","2554","2554","2554","3.7248","3.7248","3.7248"
"2560","2559","2559","2559","3.7192","3.7192","3.7192"
"2564","2563","2563","2563","3.7375","3.7375","3.7375"
"2571","2570","2570","2570","3.7366","3.7366","3.7366"
"2578","2577","2577","2577","3.7191","3.7191","3.7191"
"2579","2578","2578","2578","3.6659","3.6659","3.6659"
"2585","2584","2584","2584","3.7011","3.7011","3.7011"
"2607","2606","2606","2606","3.7029","3.7029","3.7029"
"2624","2623","2623","2623","3.7408","3.7408","3.7408"
"2637","2636","2636","2636","3.7166","3.7166","3.7166"
"2641","2640","2640","2640","3.6742","3.6742","3.6742"
"2657","2656","2656","2656","3.6832","3.6832","3.6832"
"2673","2672","2672","2672","3.6761","3.6761","3.6761"
"2675","2674","2674","2674","3.6484","3.6484","3.6484"
"2678","2677","2677","2677","3.6903","3.6903","3.6903"
"2680","2679","2679","2679","3.6816","3.6816","3.6816"
"2682","2681","2681","2681","3.6762","3.6762","3.6762"
"2692","2691","2691","2691","3.6723","3.6723","3.6723"
"2710","2709","2709","2709","3.6541","3.6541","3.6541"
"2719","2718","2718","2718","3.6433","3.6433","3.6433"
"2732","2731","2731","2731","3.6377","3.6377","3.6377"
"2734","2733","2733","2733","3.6236","3.6236","3.6236"
"2750","2749","2749","2749","3.6596","3.6596","3.6596"
"2763","2762","2762","2762","3.647","3.647","3.647"
"2765","2764","2764","2764","3.6453","3.6453","3.6453"
"2783","2782","2782","2782","3.6354","3.6354","3.6354"
"2786","2785","2785","2785","3.6442","3.6442","3.6442"
"2796","2795","2795","2795","3.6385","3.6385","3.6385"
"2808","2807","2807","2807","3.6047","3.6047","3.6047"
"2822","2821","2821","2821","3.6161","3.6161","3.6161"
"2825","2824","2824","2824","3.6298","3.6298","3.6298"
"2860","2859","2859","2859","3.6206","3.6206","3.6206"
"2867","2866","2866","2866","3.6042","3.6042","3.6042"
"2881","2880","2880","2880","3.6189","3.6189","3.6189"
"2883","2882","2882","2882","3.6248","3.6248","3.6248"
"2916","2915","2915","2915","3.6009","3.6009","3.6009"
"2917","2916","2916","2916","3.6291","3.6291","3.6291"
"2919","2918","2918","2918","3.6218","3.6218","3.6218"
"2928","2927","2927","2927","3.6176","3.6176","3.6176"
"2930","2929","2929","2929","3.5974","3.5974","3.5974"
"2939","2938","2938","2938","3.5912","3.5912","3.5912"
"2975","2974","2974","2974","3.5743","3.5743","3.5743"
"2977","2976","2976","2976","3.5744","3.5744","3.5744"
"2993","2992","2992","2992","3.5665","3.5665","3.5665"
"3003","3002","3002","3002","3.5641","3.5641","3.5641"
"3025","3024","3024","3024","3.5857","3.5857","3.5857"
"3032","3031","3031","3031","3.5844","3.5844","3.5844"
"3044","3043","3043","3043","3.5583","3.5583","3.5583"
"3048","3047","3047","3047","3.5657","3.5657","3.5657"
"3049","3048","3048","3048","3.55","3.55","3.55"
"3055","3054","3054","3054","3.5665","3.5665","3.5665"
"3068","3067","3067","3067","3.5664","3.5664","3.5664"
"3072","3071","3071","3071","3.5676","3.5676","3.5676"
"3073","3072","3072","3072","3.5674","3.5674","3.5674"
"3083","3082","3082","3082","3.552","3.552","3.552"
"3104","3103","3103","3103","3.5555","3.5555","3.5555"
"3107","3106","3106","3106","3.5338","3.5338","3.5338"
"3113","3112","3112","3112","3.5557","3.5557","3.5557"
"3131","3130","3130","3130","3.5491","3.5491","3.5491"
"3137","3136","3136","3136","3.5464","3.5464","3.5464"
"3151","3150","3150","3150","3.5724","3.5724","3.5724"
"3160","3159","3159","3159","3.5656","3.5656","3.5656"
"3181","3180","3180","3180","3.556","3.556","3.556"
"3185","3184","3184","3184","3.55","3.55","3.55"
"3195","3194","3194","3194","3.5344","3.5344","3.5344"
"3228","3227","3227","3227","3.5175","3.5175","3.5175"
"3230","3229","3229","3229","3.5272","3.5272","3.5272"
"3233","3232","3232","3232","3.5469","3.5469","3.5469"
"3239","3238","3238","3238","3.5365","3.5365","3.5365"
"3249","3248","3248","3248","3.5277","3.5277","3.5277"
"3269","3268","3268","3268","3.5294","3.5294","3.5294"
"3297","3296","3296","3296","3.5191","3.5191","3.5191"
"3316","3315","3315","3315","3.5383","3.5383","3.5383"
"3328","3327","3327","3327","3.5397","3.5397","3.5397"
"3332","3331","3331","3331","3.4994","3.4994","3.4994"
"3355","3354","3354","3354","3.5112","3.5112","3.5112"
"3357","3356","3356","3356","3.5119","3.5119","3.5119"
"3372","3371","3371","3371","3.5072","3.5072","3.5072"
"3379","3378","3378","3378","3.5066","3.5066","3.5066"
"3399","3398","3398","3398","3.545","3.545","3.545"
"3411","3410","3410","3410","3.5158","3.5158","3.5158"
"3423","3422","3422","3422","3.5006","3.5006","3.5006"
"3426","3425","3425","3425","3.5153","3.5153","3.5153"
"3429","3428","3428","3428","3.4984","3.4984","3.4984"
"3434","3433","3433","3433","3.4952","3.4952","3.4952"
"3436","3435","3435","3435","3.5019","3.5019","3.5019"
"3439","3438","3438","3438","3.5041","3.5041","3.5041"
"3447","3446","3446","3446","3.5165","3.5165","3.5165"
"3458","3457","3457","3457","3.5024","3.5024","3.5024"
"3484","3483","3483","3483","3.5238","3.5238","3.5238"
"3490","3489","3489","3489","3.4941","3.4941","3.4941"
"3495","3494","3494","3494","3.4927","3.4927","3.4927"
"3511","3510","3510","3510","3.4927","3.4927","3.4927"
"3517","3516","3516","3516","3.4838","3.4838","3.4838"
"3528","3527","3527","3527","3.4923","3.4923","3.4923"
"3549","3548","3548","3548","3.4843","3.4843","3.4843"
"3550","3549","3549","3549","3.4411","3.4411","3.4411"
"3560","3559","3559","3559","3.5037","3.5037","3.5037"
"3562","3561","3561","3561","3.4853","3.4853","3.4853"
"3575","3574","3574","3574","3.485","3.485","3.485"
"3588","3587","3587","3587","3.4788","3.4788","3.4788"
"3595","3594","3594","3594","3.4675","3.4675","3.4675"
"3606","3605","3605","3605","3.4812","3.4812","3.4812"
"3623","3622","3622","3622","3.443","3.443","3.443"
"3634","3633","3633","3633","3.4666","3.4666","3.4666"
"3636","3635","3635","3635","3.4804","3.4804","3.4804"
"3650","3649","3649","3649","3.4657","3.4657","3.4657"
"3660","3659","3659","3659","3.4918","3.4918","3.4918"
"3667","3666","3666","3666","3.4559","3.4559","3.4559"
"3672","3671","3671","3671","3.4876","3.4876","3.4876"
"3680","3679","3679","3679","3.4634","3.4634","3.4634"
"3681","3680","3680","3680","3.442","3.442","3.442"
"3708","3707","3707","3707","3.4809","3.4809","3.4809"
"3717","3716","3716","3716","3.4621","3.4621","3.4621"
"3735","3734","3734","3734","3.4531","3.4531","3.4531"
"3739","3738","3738","3738","3.4554","3.4554","3.4554"
"3752","3751","3751","3751","3.4563","3.4563","3.4563"
"3758","3757","3757","3757","3.4138","3.4138","3.4138"
"3759","3758","3758","3758","3.4701","3.4701","3.4701"
"3763","3762","3762","3762","3.4646","3.4646","3.4646"
"3765","3764","3764","3764","3.4969","3.4969","3.4969"
"3766","3765","3765","3765","3.4356","3.4356","3.4356"
"3770","3769","3769","3769","3.4272","3.4272","3.4272"
"3772","3771","3771","3771","3.462","3.462","3.462"
"3779","3778","3778","3778","3.4643","3.4643","3.4643"
"3789","3788","3788","3788","3.4164","3.4164","3.4164"
"3792","3791","3791","3791","3.4883","3.4883","3.4883"
"3793","3792","3792","3792","3.4821","3.4821","3.4821"
"3808","3807","3807","3807","3.4664","3.4664","3.4664"
"3811","3810","3810","3810","3.4654","3.4654","3.4654"
"3816","3815","3815","3815","3.4489","3.4489","3.4489"
"3833","3832","3832","3832","3.4412","3.4412","3.4412"
