"train/global_step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - train/loss","MIN","MAX"
"2757","2756","2756","2756","3.7013","3.7013","3.7013"
"2773","2772","2772","2772","3.6918","3.6918","3.6918"
"2800","2799","2799","2799","3.6845","3.6845","3.6845"
"2808","2807","2807","2807","3.6479","3.6479","3.6479"
"2812","2811","2811","2811","3.6734","3.6734","3.6734"
"2825","2824","2824","2824","3.6755","3.6755","3.6755"
"2869","2868","2868","2868","3.6436","3.6436","3.6436"
"2877","2876","2876","2876","3.6361","3.6361","3.6361"
"2892","2891","2891","2891","3.6272","3.6272","3.6272"
"2920","2919","2919","2919","3.6039","3.6039","3.6039"
"2932","2931","2931","2931","3.6255","3.6255","3.6255"
"2962","2961","2961","2961","3.6433","3.6433","3.6433"
"2966","2965","2965","2965","3.6568","3.6568","3.6568"
"2990","2989","2989","2989","3.5872","3.5872","3.5872"
"2992","2991","2991","2991","3.6386","3.6386","3.6386"
"3011","3010","3010","3010","3.6139","3.6139","3.6139"
"3013","3012","3012","3012","3.5812","3.5812","3.5812"
"3040","3039","3039","3039","3.6026","3.6026","3.6026"
"3042","3041","3041","3041","3.6367","3.6367","3.6367"
"3051","3050","3050","3050","3.6102","3.6102","3.6102"
"3058","3057","3057","3057","3.5896","3.5896","3.5896"
"3071","3070","3070","3070","3.5968","3.5968","3.5968"
"3095","3094","3094","3094","3.6022","3.6022","3.6022"
"3099","3098","3098","3098","3.5958","3.5958","3.5958"
"3105","3104","3104","3104","3.559","3.559","3.559"
"3109","3108","3108","3108","3.574","3.574","3.574"
"3128","3127","3127","3127","3.5835","3.5835","3.5835"
"3137","3136","3136","3136","3.5783","3.5783","3.5783"
"3151","3150","3150","3150","3.5898","3.5898","3.5898"
"3162","3161","3161","3161","3.6063","3.6063","3.6063"
"3174","3173","3173","3173","3.5827","3.5827","3.5827"
"3179","3178","3178","3178","3.5796","3.5796","3.5796"
"3190","3189","3189","3189","3.5615","3.5615","3.5615"
"3193","3192","3192","3192","3.5706","3.5706","3.5706"
"3215","3214","3214","3214","3.5589","3.5589","3.5589"
"3231","3230","3230","3230","3.5713","3.5713","3.5713"
"3237","3236","3236","3236","3.5836","3.5836","3.5836"
"3253","3252","3252","3252","3.5571","3.5571","3.5571"
"3265","3264","3264","3264","3.5863","3.5863","3.5863"
"3279","3278","3278","3278","3.5494","3.5494","3.5494"
"3288","3287","3287","3287","3.554","3.554","3.554"
"3291","3290","3290","3290","3.5737","3.5737","3.5737"
"3325","3324","3324","3324","3.5697","3.5697","3.5697"
"3337","3336","3336","3336","3.5363","3.5363","3.5363"
"3369","3368","3368","3368","3.5313","3.5313","3.5313"
"3405","3404","3404","3404","3.5393","3.5393","3.5393"
"3408","3407","3407","3407","3.5185","3.5185","3.5185"
"3421","3420","3420","3420","3.538","3.538","3.538"
"3440","3439","3439","3439","3.5169","3.5169","3.5169"
"3444","3443","3443","3443","3.5579","3.5579","3.5579"
"3452","3451","3451","3451","3.5711","3.5711","3.5711"
"3462","3461","3461","3461","3.5262","3.5262","3.5262"
"3464","3463","3463","3463","3.5256","3.5256","3.5256"
"3473","3472","3472","3472","3.5211","3.5211","3.5211"
"3480","3479","3479","3479","3.4997","3.4997","3.4997"
"3498","3497","3497","3497","3.5077","3.5077","3.5077"
"3517","3516","3516","3516","3.5005","3.5005","3.5005"
"3526","3525","3525","3525","3.4981","3.4981","3.4981"
"3535","3534","3534","3534","3.4842","3.4842","3.4842"
"3548","3547","3547","3547","3.5181","3.5181","3.5181"
"3549","3548","3548","3548","3.5111","3.5111","3.5111"
"3551","3550","3550","3550","3.5268","3.5268","3.5268"
